trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
165,False,"{'a': 0.02, 'e': 0.0376282568071762}",20,7,19.451114497230222,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.02, 'e': 0.036883167401239994}",20,10,17.91000288912667,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.02, 'e': 0.03615283175404641}",20,0,24.245305373621726,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.02, 'e': 0.03543695772159864}",20,0,31.262530232327354,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
169,False,"{'a': 0.02, 'e': 0.03473525894473856}",25,11,24.771815764880408,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.02, 'e': 0.034047454734599344}",30,1,41.5902524281213,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.02, 'e': 0.03337326996032608}",20,0,28.66390009964159,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
172,False,"{'a': 0.02, 'e': 0.03271243493901982}",20,12,16.210628355006104,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.02, 'e': 0.03206468532786077}",20,11,6.8488294894661506,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.02, 'e': 0.03142976201836771}",20,7,-1.7553699864133625,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
175,False,"{'a': 0.02, 'e': 0.030807411032751076}",30,0,44.90757074812224,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
176,False,"{'a': 0.02, 'e': 0.0301973834223185}",25,18,11.010656513954693,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.02, 'e': 0.029599435167892}",20,0,29.70357612788357,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
178,False,"{'a': 0.02, 'e': 0.029013327082197053}",30,15,28.956630522930507,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.02, 'e': 0.028438824714184505}",20,5,23.951682613614075,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.02, 'e': 0.027875698255247015}",20,15,11.949758755054702,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.02, 'e': 0.02732372244729256}",25,20,11.539035499115219,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.02, 'e': 0.026782676492638175}",20,8,19.418656966958206,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.02, 'e': 0.02625234396568796}",30,13,36.0253233899409,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.02, 'e': 0.02573251272635994}",25,12,23.01405607112374,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.02, 'e': 0.025222974835227212}",20,12,15.195292594173194,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.02, 'e': 0.024723526470339388}",25,9,33.25027224163517,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.02, 'e': 0.024233967845691113}",20,8,19.129950770599056,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.02, 'e': 0.023754103131304997}",20,8,19.026881947440902,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
